,stationid,compname,time,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,gml$Point_gml$coord_Z,gml$Point_srsName,subzahl,meantype,value,unit,valueclass,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner
0,06:106,Schwefeldioxid,1659726000,15.086667,47.06333,445.0,EPSG:31287,1,HMW,0.0,µg/m³,1,Köflach,"Alter Rathausplatz, Volksschule Schulweg (B70: 90m)",Amt der Steiermärkischen Landesregierung
1,06:142,Schwefeldioxid,1659726000,15.0745,47.37555555555556,555.0,EPSG:31287,1,HMW,0.0,µg/m³,1,Leoben Donawitz Kindergarten,Kindergarten Pestalozzigasse (Pz.Nr. 71/8),Amt der Steiermärkischen Landesregierung
2,06:170,Schwefeldioxid,1659726000,15.43308,47.04172,345.0,EPSG:31287,1,HMW,0.0,µg/m³,1,Graz Süd Tiergartenweg,"Tiergartenweg 10, Ecke Herrgotwiesgasse 190 (B67: 250m)",Amt der Steiermärkischen Landesregierung
3,06:177,Schwefeldioxid,1659726000,14.244676,47.565439,649.0,EPSG:31287,1,HMW,0.0,µg/m³,1,Liezen Pyhrnbach,Alte Gasse 12,Amt der Steiermärkischen Landesregierung
4,06:190,Schwefeldioxid,1659720600,15.36778,46.65195,785.0,EPSG:31287,1,HMW,0.0,µg/m³,1,Arnfels - Remschnigg,"Steirischer Possruck, Remschnigg, Isaak",Amt der Steiermärkischen Landesregierung
5,10:ILL1,Schwefeldioxid,1659726000,16.76639,47.77028,117.0,EPSG:31287,1,HMW,0.0,µg/m³,1,Illmitz am Neusiedler See,Biologische Station Illmitz,Umweltbundesamt
6,10:VOR1,Schwefeldioxid,1659726000,12.972,46.6775,1010.0,EPSG:31287,1,HMW,0.0,µg/m³,1,Vorhegg bei Kötschach-Mauthen,"Kreuth 8b, Josef Zobernig",Umweltbundesamt
7,01:0012,Schwefeldioxid,1659686400,,,,EPSG:31287,1,HMW,1.0,µg/m³,1,Illmitz im Burgenländischen Messnetz (könnten UBA-Daten drauf sein),,Amt der Burgenländischen Landesregierung
8,02:KA71,Schwefeldioxid,1659724200,14.299144444444444,46.62661666666667,445.0,EPSG:31287,1,HMW,1.0,µg/m³,1,Klagenfurt Sterneckstraße,Sterneckstraße (gegenüber Nr. 17),Amt der Kärntner Landesregierung
9,02:M121,Schwefeldioxid,1659724200,13.70345,46.5584,574.0,EPSG:31287,1,HMW,1.0,µg/m³,1,Arnoldstein Gailitz Waldsiedlungsstraße,"Waldsiedlungsstraße 5, gegenüber Föhrenweg 10",Amt der Kärntner Landesregierung
10,02:M226,Schwefeldioxid,1659726000,14.39826,46.61011,420.0,EPSG:31287,1,HMW,1.0,µg/m³,1,Ebenthal Zell,Niederdorferstraße 5,Amt der Kärntner Landesregierung
