,stationid,compname,time,MetaInfo_Owner,MetaInfo_Name,MetaInfo_Location,meantype,subzahl,value,valueclass,unit,gml$Point_srsName,gml$Point_gml$coord_X,gml$Point_gml$coord_Z,gml$Point_gml$coord_Y
0,02:WO15,Schwefeldioxid,1659909600,Amt der Kärntner Landesregierung,Wolfsberg Hauptschule,"Hauptschule, Klagenfurter Str. (B70), Hans Schreiber-Str. 1",HMW,1,0.0,1,µg/m³,EPSG:31287,14.84346,460.0,46.834975
1,06:106,Schwefeldioxid,1659911400,Amt der Steiermärkischen Landesregierung,Köflach,"Alter Rathausplatz, Volksschule Schulweg (B70: 90m)",HMW,1,0.0,1,µg/m³,EPSG:31287,15.086667,445.0,47.06333
2,06:170,Schwefeldioxid,1659911400,Amt der Steiermärkischen Landesregierung,Graz Süd Tiergartenweg,"Tiergartenweg 10, Ecke Herrgotwiesgasse 190 (B67: 250m)",HMW,1,0.0,1,µg/m³,EPSG:31287,15.43308,345.0,47.04172
3,06:177,Schwefeldioxid,1659911400,Amt der Steiermärkischen Landesregierung,Liezen Pyhrnbach,Alte Gasse 12,HMW,1,0.0,1,µg/m³,EPSG:31287,14.244676,649.0,47.565439
4,06:185,Schwefeldioxid,1659911400,Amt der Steiermärkischen Landesregierung,Klöch bei Bad Radkersburg,"Seindl, Dissay-Weg",HMW,1,0.0,1,µg/m³,EPSG:31287,15.956111,415.0,46.7675
5,10:ENK1,Schwefeldioxid,1659911400,Umweltbundesamt,Enzenkirchen im Sauwald,"Kriegen, Kapelle",HMW,1,0.0,1,µg/m³,EPSG:31287,13.67085,525.0,48.39167
6,10:ILL1,Schwefeldioxid,1659911400,Umweltbundesamt,Illmitz am Neusiedler See,Biologische Station Illmitz,HMW,1,0.0,1,µg/m³,EPSG:31287,16.76639,117.0,47.77028
7,10:VOR1,Schwefeldioxid,1659911400,Umweltbundesamt,Vorhegg bei Kötschach-Mauthen,"Kreuth 8b, Josef Zobernig",HMW,1,0.0,1,µg/m³,EPSG:31287,12.972,1010.0,46.6775
8,10:ZOE2,Schwefeldioxid,1659911400,Umweltbundesamt,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,"Zöbelboden, Wildwiese",HMW,1,0.0,1,µg/m³,EPSG:31287,14.44095,899.0,47.83828
9,01:0012,Schwefeldioxid,1659859200,Amt der Burgenländischen Landesregierung,Illmitz im Burgenländischen Messnetz (könnten UBA-Daten drauf sein),,HMW,1,1.0,1,µg/m³,EPSG:31287,,,
