,stationid,unit,compname,time,valueclass,MetaInfo_Name,MetaInfo_Owner,MetaInfo_Location,meantype,gml$Point_srsName,gml$Point_gml$coord_Z,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,value,subzahl
0,06:106,µg/m³,Schwefeldioxid,1660068000000000000,1,Köflach,Amt der Steiermärkischen Landesregierung,"Alter Rathausplatz, Volksschule Schulweg (B70: 90m)",HMW,EPSG:31287,445,15.086667,47.06333,0,1
1,06:142,µg/m³,Schwefeldioxid,1660069800000000000,1,Leoben Donawitz Kindergarten,Amt der Steiermärkischen Landesregierung,Kindergarten Pestalozzigasse (Pz.Nr. 71/8),HMW,EPSG:31287,555,15.0745,47.37555555555556,0,1
2,06:170,µg/m³,Schwefeldioxid,1660069800000000000,1,Graz Süd Tiergartenweg,Amt der Steiermärkischen Landesregierung,"Tiergartenweg 10, Ecke Herrgotwiesgasse 190 (B67: 250m)",HMW,EPSG:31287,345,15.43308,47.04172,0,1
3,06:177,µg/m³,Schwefeldioxid,1660069800000000000,1,Liezen Pyhrnbach,Amt der Steiermärkischen Landesregierung,Alte Gasse 12,HMW,EPSG:31287,649,14.244676,47.565439,0,1
4,06:180,µg/m³,Schwefeldioxid,1660069800000000000,1,Bruck an der Mur Flurgasse,Amt der Steiermärkischen Landesregierung,"Flurgasse 2, Ecke Oberdorfer Straße",HMW,EPSG:31287,485,15.253333,47.409443,0,1
5,06:185,µg/m³,Schwefeldioxid,1660069800000000000,1,Klöch bei Bad Radkersburg,Amt der Steiermärkischen Landesregierung,"Seindl, Dissay-Weg",HMW,EPSG:31287,415,15.956111,46.7675,0,1
6,10:ILL1,µg/m³,Schwefeldioxid,1660069800000000000,1,Illmitz am Neusiedler See,Umweltbundesamt,Biologische Station Illmitz,HMW,EPSG:31287,117,16.76639,47.77028,0,1
7,10:VOR1,µg/m³,Schwefeldioxid,1660069800000000000,1,Vorhegg bei Kötschach-Mauthen,Umweltbundesamt,"Kreuth 8b, Josef Zobernig",HMW,EPSG:31287,1010,12.972,46.6775,0,1
8,10:ZOE2,µg/m³,Schwefeldioxid,1660069800000000000,1,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,Umweltbundesamt,"Zöbelboden, Wildwiese",HMW,EPSG:31287,899,14.44095,47.83828,0,1
9,01:0012,µg/m³,Schwefeldioxid,1660037400000000000,1,Illmitz im Burgenländischen Messnetz (könnten UBA-Daten drauf sein),Amt der Burgenländischen Landesregierung,,HMW,EPSG:31287,,,,1,1
10,02:KA71,µg/m³,Schwefeldioxid,1660068000000000000,1,Klagenfurt Sterneckstraße,Amt der Kärntner Landesregierung,Sterneckstraße (gegenüber Nr. 17),HMW,EPSG:31287,445,14.299144444444444,46.62661666666667,1,1
11,02:M121,µg/m³,Schwefeldioxid,1660068000000000000,1,Arnoldstein Gailitz Waldsiedlungsstraße,Amt der Kärntner Landesregierung,"Waldsiedlungsstraße 5, gegenüber Föhrenweg 10",HMW,EPSG:31287,574,13.70345,46.5584,1,1
12,02:M226,µg/m³,Schwefeldioxid,1660068000000000000,1,Ebenthal Zell,Amt der Kärntner Landesregierung,Niederdorferstraße 5,HMW,EPSG:31287,420,14.39826,46.61011,1,1
13,02:WO15,µg/m³,Schwefeldioxid,1660068000000000000,1,Wolfsberg Hauptschule,Amt der Kärntner Landesregierung,"Hauptschule, Klagenfurter Str. (B70), Hans Schreiber-Str. 1",HMW,EPSG:31287,460,14.84346,46.834975,1,1
14,03:0103,µg/m³,Schwefeldioxid,1660068000000000000,1,Kollmitzberg,Amt der Niederösterreichischen Landesregierung,"Kollmitzberg, neben GH. Alpenblick",HMW,EPSG:31287,465,14.86505,48.179279,1,1
15,03:0202,µg/m³,Schwefeldioxid,1660069800000000000,1,Forsthof am Schöpfl,Amt der Niederösterreichischen Landesregierung,Forsthof am Schöpfl,HMW,EPSG:31287,581,15.9189,48.1051,1,1
16,03:0302,µg/m³,Schwefeldioxid,1660069800000000000,1,Stixneusiedl,Amt der Niederösterreichischen Landesregierung,"Stixneusiedl, Hochbehälter Viehtrift",HMW,EPSG:31287,235,16.675289,48.05004,1,1
17,03:0401,µg/m³,Schwefeldioxid,1660069800000000000,1,Gänserndorf Baumschulweg,Amt der Niederösterreichischen Landesregierung,Baumschulweg,HMW,EPSG:31287,161,16.729445,48.33472,1,1
18,03:0407,µg/m³,Schwefeldioxid,1660069800000000000,1,Groß-Enzersdorf - Glinzendorf,Amt der Niederösterreichischen Landesregierung,L3010 zwischen Glinzendorf und Rutzendorf,HMW,EPSG:31287,150,16.63638889,48.230833333,1,1
19,03:0502,µg/m³,Schwefeldioxid,1660069800000000000,1,Heidenreichstein Thaures,Amt der Niederösterreichischen Landesregierung,Thaures,HMW,EPSG:31287,570,15.04666667,48.8786111,1,1
20,03:2501,µg/m³,Schwefeldioxid,1660069800000000000,1,Krems,Amt der Niederösterreichischen Landesregierung,"St.Paul-Gasse/Rechte Kremszeile 54, Sportplatz",HMW,EPSG:31287,200,15.619166,48.40861,1,1
21,04:S108,µg/m³,Schwefeldioxid,1660069800000000000,1,Grünbach bei Freistadt,Amt der Oberösterreichischen Landesregierung,Oberrauchenödt Kirche St. Michael,HMW,EPSG:31287,918,14.574722222222,48.53111111,1,1
22,04:S409,µg/m³,Schwefeldioxid,1660069800000000000,1,Steyr Münichholz,Amt der Oberösterreichischen Landesregierung,"Siedlung Münichholz, Holzstrasse, Karl Punzer-Straße 1",HMW,EPSG:31287,305,14.442777777777777,48.04944444444444,1,1
23,06:136,µg/m³,Schwefeldioxid,1660069800000000000,1,Judendorf Süd,Amt der Steiermärkischen Landesregierung,"Ringsiedlung, Murufer",HMW,EPSG:31287,375,15.351111111111,47.12027777778,1,1
24,06:138,µg/m³,Schwefeldioxid,1660069800000000000,1,Graz Nord Gösting,Amt der Steiermärkischen Landesregierung,"Graz Nord, Josef Ornig-Strasse 16, Umspannwerk, Sportplatz",HMW,EPSG:31287,355,15.4151111111111,47.0943611111,1,1
