stationid,compname,time,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,gml$Point_gml$coord_Z,gml$Point_srsName,subzahl,meantype,FotoAnzahl,value,unit,Fotos_0_Link,Fotos_0_Thumb,valueclass,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner,Fotos_1_Link,Fotos_1_Thumb,Fotos_2_Thumb,Fotos_2_Link,Fotos_3_Link,Fotos_3_Thumb,Fotos_4_Thumb,Fotos_4_Link,Fotos_5_Thumb,Fotos_5_Link,Fotos_6_Link,Fotos_6_Thumb,Fotos_7_Link,Fotos_7_Thumb,Fotos_8_Link,Fotos_8_Thumb
06:106,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,15.086667,47.06333,445.0,EPSG:31287,1,HMW,1.0,0.0,µg/m³,/pub/fotos/stations/06106 nSW.JPG,/pub/fotos/stations/thumbs/06106 nSW.JPG,1,Köflach,"Alter Rathausplatz, Volksschule Schulweg (B70: 90m)",Amt der Steiermärkischen Landesregierung,,,,,,,,,,,,,,,,
06:142,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,15.0745,47.37555555555556,555.0,EPSG:31287,1,HMW,3.0,0.0,µg/m³,/pub/fotos/stations/06142 nNO.JPG,/pub/fotos/stations/thumbs/06142 nNO.JPG,1,Leoben Donawitz Kindergarten,Kindergarten Pestalozzigasse (Pz.Nr. 71/8),Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06142 nO.JPG,/pub/fotos/stations/thumbs/06142 nO.JPG,/pub/fotos/stations/thumbs/06142 nW.JPG,/pub/fotos/stations/06142 nW.JPG,,,,,,,,,,,,
06:170,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,15.43308,47.04172,345.0,EPSG:31287,1,HMW,6.0,0.0,µg/m³,/pub/fotos/stations/06170 nNO.JPG,/pub/fotos/stations/thumbs/06170 nNO.JPG,1,Graz Süd Tiergartenweg,"Tiergartenweg 10, Ecke Herrgotwiesgasse 190 (B67: 250m)",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06170 nNW.JPG,/pub/fotos/stations/thumbs/06170 nNW.JPG,/pub/fotos/stations/thumbs/06170 nO.JPG,/pub/fotos/stations/06170 nO.JPG,/pub/fotos/stations/06170 nS.JPG,/pub/fotos/stations/thumbs/06170 nS.JPG,/pub/fotos/stations/thumbs/06170 nSW.JPG,/pub/fotos/stations/06170 nSW.JPG,/pub/fotos/stations/thumbs/06170 nW.JPG,/pub/fotos/stations/06170 nW.JPG,,,,,,
06:177,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,14.244676,47.565439,649.0,EPSG:31287,1,HMW,6.0,0.0,µg/m³,/pub/fotos/stations/06177 nN.JPG,/pub/fotos/stations/thumbs/06177 nN.JPG,1,Liezen Pyhrnbach,Alte Gasse 12,Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06177 nNW.JPG,/pub/fotos/stations/thumbs/06177 nNW.JPG,/pub/fotos/stations/thumbs/06177 nO.JPG,/pub/fotos/stations/06177 nO.JPG,/pub/fotos/stations/06177 nSO.JPG,/pub/fotos/stations/thumbs/06177 nSO.JPG,/pub/fotos/stations/thumbs/06177 nSW.JPG,/pub/fotos/stations/06177 nSW.JPG,/pub/fotos/stations/thumbs/06177 nW.JPG,/pub/fotos/stations/06177 nW.JPG,,,,,,
06:190,Schwefeldioxid,5 Aug 2022 17:30:00 GMT+0100,15.36778,46.65195,785.0,EPSG:31287,1,HMW,4.0,0.0,µg/m³,/pub/fotos/stations/06190 nN.JPG,/pub/fotos/stations/thumbs/06190 nN.JPG,1,Arnfels - Remschnigg,"Steirischer Possruck, Remschnigg, Isaak",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06190 nO.JPG,/pub/fotos/stations/thumbs/06190 nO.JPG,/pub/fotos/stations/thumbs/06190 nS.JPG,/pub/fotos/stations/06190 nS.JPG,/pub/fotos/stations/06190 nW.JPG,/pub/fotos/stations/thumbs/06190 nW.JPG,,,,,,,,,,
10:ILL1,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,16.76639,47.77028,117.0,EPSG:31287,1,HMW,9.0,0.0,µg/m³,/pub/fotos/stations/10ILL1 nN.jpg,/pub/fotos/stations/thumbs/10ILL1 nN.jpg,1,Illmitz am Neusiedler See,Biologische Station Illmitz,Umweltbundesamt,/pub/fotos/stations/10ILL1 nNO.JPG,/pub/fotos/stations/thumbs/10ILL1 nNO.JPG,/pub/fotos/stations/thumbs/10ILL1 nNW vom Dach der Biologischen Station.jpg,/pub/fotos/stations/10ILL1 nNW vom Dach der Biologischen Station.jpg,/pub/fotos/stations/10ILL1 nNW.JPG,/pub/fotos/stations/thumbs/10ILL1 nNW.JPG,/pub/fotos/stations/thumbs/10ILL1 nO.jpg,/pub/fotos/stations/10ILL1 nO.jpg,/pub/fotos/stations/thumbs/10ILL1 nS.jpg,/pub/fotos/stations/10ILL1 nS.jpg,/pub/fotos/stations/10ILL1 nSO.jpg,/pub/fotos/stations/thumbs/10ILL1 nSO.jpg,/pub/fotos/stations/10ILL1 nSW.jpg,/pub/fotos/stations/thumbs/10ILL1 nSW.jpg,/pub/fotos/stations/10ILL1 nW.jpg,/pub/fotos/stations/thumbs/10ILL1 nW.jpg
10:VOR1,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,12.972,46.6775,1010.0,EPSG:31287,1,HMW,7.0,0.0,µg/m³,/pub/fotos/stations/10VOR1 nN.jpg,/pub/fotos/stations/thumbs/10VOR1 nN.jpg,1,Vorhegg bei Kötschach-Mauthen,"Kreuth 8b, Josef Zobernig",Umweltbundesamt,/pub/fotos/stations/10VOR1 nNO.JPG,/pub/fotos/stations/thumbs/10VOR1 nNO.JPG,/pub/fotos/stations/thumbs/10VOR1 nO.jpg,/pub/fotos/stations/10VOR1 nO.jpg,/pub/fotos/stations/10VOR1 nS.jpg,/pub/fotos/stations/thumbs/10VOR1 nS.jpg,/pub/fotos/stations/thumbs/10VOR1 nSO.jpg,/pub/fotos/stations/10VOR1 nSO.jpg,/pub/fotos/stations/thumbs/10VOR1 nSW.JPG,/pub/fotos/stations/10VOR1 nSW.JPG,/pub/fotos/stations/10VOR1 nW.JPG,/pub/fotos/stations/thumbs/10VOR1 nW.JPG,,,,
01:0012,Schwefeldioxid,5 Aug 2022 08:00:00 GMT+0100,,,,EPSG:31287,1,HMW,,1.0,µg/m³,,,1,Illmitz im Burgenländischen Messnetz (könnten UBA-Daten drauf sein),,Amt der Burgenländischen Landesregierung,,,,,,,,,,,,,,,,
02:KA71,Schwefeldioxid,5 Aug 2022 18:30:00 GMT+0100,14.299144444444444,46.62661666666667,445.0,EPSG:31287,1,HMW,6.0,1.0,µg/m³,/pub/fotos/stations/02KA71 nN.jpg,/pub/fotos/stations/thumbs/02KA71 nN.jpg,1,Klagenfurt Sterneckstraße,Sterneckstraße (gegenüber Nr. 17),Amt der Kärntner Landesregierung,/pub/fotos/stations/02KA71 nNO.JPG,/pub/fotos/stations/thumbs/02KA71 nNO.JPG,/pub/fotos/stations/thumbs/02KA71 nNW.JPG,/pub/fotos/stations/02KA71 nNW.JPG,/pub/fotos/stations/02KA71 nO.jpg,/pub/fotos/stations/thumbs/02KA71 nO.jpg,/pub/fotos/stations/thumbs/02KA71 nS.jpg,/pub/fotos/stations/02KA71 nS.jpg,/pub/fotos/stations/thumbs/02KA71 nW.jpg,/pub/fotos/stations/02KA71 nW.jpg,,,,,,
02:M121,Schwefeldioxid,5 Aug 2022 18:30:00 GMT+0100,13.70345,46.5584,574.0,EPSG:31287,1,HMW,4.0,1.0,µg/m³,/pub/fotos/stations/02M121 nO.JPG,/pub/fotos/stations/thumbs/02M121 nO.JPG,1,Arnoldstein Gailitz Waldsiedlungsstraße,"Waldsiedlungsstraße 5, gegenüber Föhrenweg 10",Amt der Kärntner Landesregierung,/pub/fotos/stations/02M121 nS.jpg,/pub/fotos/stations/thumbs/02M121 nS.jpg,/pub/fotos/stations/thumbs/02M121 nSO.jpg,/pub/fotos/stations/02M121 nSO.jpg,/pub/fotos/stations/02M121 nW.JPG,/pub/fotos/stations/thumbs/02M121 nW.JPG,,,,,,,,,,
