stationid,compname,time,Fotos_0_Link,Fotos_0_Thumb,subzahl,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner,FotoAnzahl,meantype,value,gml$Point_srsName,gml$Point_gml$coord_X,gml$Point_gml$coord_Z,gml$Point_gml$coord_Y,unit,valueclass,Fotos_1_Thumb,Fotos_1_Link,Fotos_2_Link,Fotos_2_Thumb,Fotos_3_Link,Fotos_3_Thumb,Fotos_4_Thumb,Fotos_4_Link,Fotos_5_Link,Fotos_5_Thumb,Fotos_6_Thumb,Fotos_6_Link,Fotos_7_Thumb,Fotos_7_Link,Fotos_8_Thumb,Fotos_8_Link
06:106,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06106 nSW.JPG,/pub/fotos/stations/thumbs/06106 nSW.JPG,1,Köflach,"Alter Rathausplatz, Volksschule Schulweg (B70: 90m)",Amt der Steiermärkischen Landesregierung,1.0,HMW,0,EPSG:31287,15.086667,445,47.06333,µg/m³,1,,,,,,,,,,,,,,,,
06:156,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06156 nN.jpg,/pub/fotos/stations/thumbs/06156 nN.jpg,1,Masenberg,"Masenberg, Sender oberhalb von Waldhansl",Amt der Steiermärkischen Landesregierung,6.0,HMW,0,EPSG:31287,15.882222,1180,47.34806,µg/m³,1,/pub/fotos/stations/thumbs/06156 nNW.JPG,/pub/fotos/stations/06156 nNW.JPG,/pub/fotos/stations/06156 nS.JPG,/pub/fotos/stations/thumbs/06156 nS.JPG,/pub/fotos/stations/06156 nSO.JPG,/pub/fotos/stations/thumbs/06156 nSO.JPG,/pub/fotos/stations/thumbs/06156 nSW.JPG,/pub/fotos/stations/06156 nSW.JPG,/pub/fotos/stations/06156 nW.JPG,/pub/fotos/stations/thumbs/06156 nW.JPG,,,,,,
06:170,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06170 nNO.JPG,/pub/fotos/stations/thumbs/06170 nNO.JPG,1,Graz Süd Tiergartenweg,"Tiergartenweg 10, Ecke Herrgotwiesgasse 190 (B67: 250m)",Amt der Steiermärkischen Landesregierung,6.0,HMW,0,EPSG:31287,15.43308,345,47.04172,µg/m³,1,/pub/fotos/stations/thumbs/06170 nNW.JPG,/pub/fotos/stations/06170 nNW.JPG,/pub/fotos/stations/06170 nO.JPG,/pub/fotos/stations/thumbs/06170 nO.JPG,/pub/fotos/stations/06170 nS.JPG,/pub/fotos/stations/thumbs/06170 nS.JPG,/pub/fotos/stations/thumbs/06170 nSW.JPG,/pub/fotos/stations/06170 nSW.JPG,/pub/fotos/stations/06170 nW.JPG,/pub/fotos/stations/thumbs/06170 nW.JPG,,,,,,
06:177,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06177 nN.JPG,/pub/fotos/stations/thumbs/06177 nN.JPG,1,Liezen Pyhrnbach,Alte Gasse 12,Amt der Steiermärkischen Landesregierung,6.0,HMW,0,EPSG:31287,14.244676,649,47.565439,µg/m³,1,/pub/fotos/stations/thumbs/06177 nNW.JPG,/pub/fotos/stations/06177 nNW.JPG,/pub/fotos/stations/06177 nO.JPG,/pub/fotos/stations/thumbs/06177 nO.JPG,/pub/fotos/stations/06177 nSO.JPG,/pub/fotos/stations/thumbs/06177 nSO.JPG,/pub/fotos/stations/thumbs/06177 nSW.JPG,/pub/fotos/stations/06177 nSW.JPG,/pub/fotos/stations/06177 nW.JPG,/pub/fotos/stations/thumbs/06177 nW.JPG,,,,,,
06:185,Schwefeldioxid,6 Aug 2022 00:00:00 GMT+0100,/pub/fotos/stations/06185 nN.jpg,/pub/fotos/stations/thumbs/06185 nN.jpg,1,Klöch bei Bad Radkersburg,"Seindl, Dissay-Weg",Amt der Steiermärkischen Landesregierung,4.0,HMW,0,EPSG:31287,15.956111,415,46.7675,µg/m³,1,/pub/fotos/stations/thumbs/06185 nO.jpg,/pub/fotos/stations/06185 nO.jpg,/pub/fotos/stations/06185 nSO.jpg,/pub/fotos/stations/thumbs/06185 nSO.jpg,/pub/fotos/stations/06185 nSW.jpg,/pub/fotos/stations/thumbs/06185 nSW.jpg,,,,,,,,,,
10:ENK1,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/10ENK1 nN.JPG,/pub/fotos/stations/thumbs/10ENK1 nN.JPG,1,Enzenkirchen im Sauwald,"Kriegen, Kapelle",Umweltbundesamt,4.0,HMW,0,EPSG:31287,13.67085,525,48.39167,µg/m³,1,/pub/fotos/stations/thumbs/10ENK1 nO.JPG,/pub/fotos/stations/10ENK1 nO.JPG,/pub/fotos/stations/10ENK1 nSO.JPG,/pub/fotos/stations/thumbs/10ENK1 nSO.JPG,/pub/fotos/stations/10ENK1 nW.JPG,/pub/fotos/stations/thumbs/10ENK1 nW.JPG,,,,,,,,,,
10:ILL1,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/10ILL1 nN.jpg,/pub/fotos/stations/thumbs/10ILL1 nN.jpg,1,Illmitz am Neusiedler See,Biologische Station Illmitz,Umweltbundesamt,9.0,HMW,0,EPSG:31287,16.76639,117,47.77028,µg/m³,1,/pub/fotos/stations/thumbs/10ILL1 nNO.JPG,/pub/fotos/stations/10ILL1 nNO.JPG,/pub/fotos/stations/10ILL1 nNW vom Dach der Biologischen Station.jpg,/pub/fotos/stations/thumbs/10ILL1 nNW vom Dach der Biologischen Station.jpg,/pub/fotos/stations/10ILL1 nNW.JPG,/pub/fotos/stations/thumbs/10ILL1 nNW.JPG,/pub/fotos/stations/thumbs/10ILL1 nO.jpg,/pub/fotos/stations/10ILL1 nO.jpg,/pub/fotos/stations/10ILL1 nS.jpg,/pub/fotos/stations/thumbs/10ILL1 nS.jpg,/pub/fotos/stations/thumbs/10ILL1 nSO.jpg,/pub/fotos/stations/10ILL1 nSO.jpg,/pub/fotos/stations/thumbs/10ILL1 nSW.jpg,/pub/fotos/stations/10ILL1 nSW.jpg,/pub/fotos/stations/thumbs/10ILL1 nW.jpg,/pub/fotos/stations/10ILL1 nW.jpg
10:VOR1,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/10VOR1 nN.jpg,/pub/fotos/stations/thumbs/10VOR1 nN.jpg,1,Vorhegg bei Kötschach-Mauthen,"Kreuth 8b, Josef Zobernig",Umweltbundesamt,7.0,HMW,0,EPSG:31287,12.972,1010,46.6775,µg/m³,1,/pub/fotos/stations/thumbs/10VOR1 nNO.JPG,/pub/fotos/stations/10VOR1 nNO.JPG,/pub/fotos/stations/10VOR1 nO.jpg,/pub/fotos/stations/thumbs/10VOR1 nO.jpg,/pub/fotos/stations/10VOR1 nS.jpg,/pub/fotos/stations/thumbs/10VOR1 nS.jpg,/pub/fotos/stations/thumbs/10VOR1 nSO.jpg,/pub/fotos/stations/10VOR1 nSO.jpg,/pub/fotos/stations/10VOR1 nSW.JPG,/pub/fotos/stations/thumbs/10VOR1 nSW.JPG,/pub/fotos/stations/thumbs/10VOR1 nW.JPG,/pub/fotos/stations/10VOR1 nW.JPG,,,,
10:ZOE2,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/10ZOE2 nN.jpg,/pub/fotos/stations/thumbs/10ZOE2 nN.jpg,1,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,"Zöbelboden, Wildwiese",Umweltbundesamt,4.0,HMW,0,EPSG:31287,14.44095,899,47.83828,µg/m³,1,/pub/fotos/stations/thumbs/10ZOE2 nO.jpg,/pub/fotos/stations/10ZOE2 nO.jpg,/pub/fotos/stations/10ZOE2 nS.jpg,/pub/fotos/stations/thumbs/10ZOE2 nS.jpg,/pub/fotos/stations/10ZOE2 nW.jpg,/pub/fotos/stations/thumbs/10ZOE2 nW.jpg,,,,,,,,,,
01:0012,Schwefeldioxid,5 Aug 2022 08:00:00 GMT+0100,,,1,Illmitz im Burgenländischen Messnetz (könnten UBA-Daten drauf sein),,Amt der Burgenländischen Landesregierung,,HMW,1,EPSG:31287,,,,µg/m³,1,,,,,,,,,,,,,,,,
